Cart;#;Placed;Parts;Value;Package;Qty;Description;Device;TOLERANCE;V_RATING;Vendor;Link
x;1;;BOOT;;2X03;1;PIN HEADER;PINHD-2X3;;;case/crf;
x;2;;DEBUG;;2X04;1;PIN HEADER;PINHD-2X4;;;case/crf;
x;3;;R32, R35, R36, R37;0;R0603;4;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;4;;C1, C2, C4, C6, C8, C10, C12, C14, C18, C28, C30, C34, C35, C36, C43, C47, C48, C49, C50, C51;0.1u;C0603;20;Standard Chip CAPACITOR 0605 (1608 Metric);C0603;;;mouser;
x;5;;C16;0.1u;C0805;1;Standard Chip CAPACITOR 0805 (2012 Metric);C0805;;;mouser;
x;6;;R6, R7, R9, R12;0.75;R0603;4;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;7;;R1, R2, R13, R16;1.8k;R0603;4;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;8;;R29;100k;R0603;1;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;9;;R_FBT;105k;R0603;1;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;10;;R23;10k;R0603;1;Standard Chip RESISTOR 0603 (1608 Metric);R0603;1%;;mouser;
x;11;;R3, R8, R10, R11, R15, R24, R27, R30, R31, R33, R34;10k;R0603;11;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;12;;C5, C7, C9, C11, C13, C42;10u;C0603;6;Standard Chip CAPACITOR 0605 (1608 Metric);C0603;;;mouser;
x;13;;C_IN, C_OUT;10u;C0805;2;Standard Chip CAPACITOR 0805 (2012 Metric);C0805;;;mouser;
x;14;;C3;10u;EIA_6032-28;1;KEMET C Size Taltalum Capacitator;KEMET_C;;;mouser;
x;15;;C26, C27;10u;SMC_A;2;A Size Taltalum Capacitator;SMC_A;;;mouser;
x;16;;FP1, FP2;10u;R0805;2;Würth Electronics Size 0805 Ferrite Pearls;WE-CBF_0805;;;mouser;
x;17;;R21;112k;R0603;1;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;18;;R17, RB;150k;R0603;2;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;19;;R18;180k;R0603;1;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;20;;U$1;1N4148WX;1N4148WX_SOD-323-2;1;;DIODE_1N4148WX;;;mouser;
x;21;;R4, R5, R14, R25;1k;R0603;4;Standard Chip RESISTOR 0603 (1608 Metric);R0603;;;mouser;
x;22;;C44;1u;C0603;1;Standard Chip CAPACITOR 0605 (1608 Metric);C0603;;;mouser;
x;23;;C24;1u;C0805;1;Standard Chip CAPACITOR 0805 (2012 Metric);C0805;;;mouser;
x;24;;C15, C29, C45, C46;2.2u;C0603;4;Standard Chip CAPACITOR 0605 (1608 Metric);C0603;;;mouser;
x;25;;L1;2.2u;XAL5030;1;COILCRAFT - XAL5030-222MEC - INDUCTOR, PWR, 2.2UH, 9.2A,20%,38MHZ;XAL5030-222MEC;;;mouser;
